ids,followers,monthly_listeners,popularity,num_releases,num_tracks,playlists_distintas,antiguedad,genero,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7CLsFRcEkn0Amc9VlVOFwR,60152.6,2498680.2,60.4,20.0,1.0,1.0,2.0,electronica,0.00111,0.499,0.894,0.000266,0.0986,-3.787,0.0507,159.777,0.149
7CV3dQkhJB2dEqb85ICD33,123836.66666666667,1764584.0,56.666666666666664,5.0,1.0,2.0,1.0,electronica,0.0393,0.63,0.763,0.0,0.7,-4.89,0.0892,162.152,0.295
7CWqlWlNqgpEYr4vwcVzCJ,3518.0,702133.0,48.0,20.0,1.0,1.0,2.0,pop,0.00308,0.602,0.897,0.27,0.0808,-7.261,0.034,124.993,0.233
7CajNmpbOovFoOoasH2HaY,22513865.769230768,68793916.3076923,85.53846153846153,20.0,2.0,8.0,17.0,pop,0.10623273333333333,0.7205999999999999,0.8427333333333333,0.018499347333333336,0.15940000000000001,-4.314400000000001,0.04806666666666667,123.59020000000001,0.6272666666666668
7Ce1uDyyat0uJpzu7CDaEI,285.85714285714283,321233.14285714284,38.857142857142854,7.0,2.0,2.0,3.0,instrumental,0.994,0.401,0.0219,0.94,0.097,-27.801,0.0454,99.9,0.349
7CvTknweLr9feJtRGrpDBy,250123.0,28165456.0,80.0,16.0,1.0,1.0,2.0,latino y caribe,0.446,0.791,0.499,2.41e-05,0.0899,-8.472,0.0509,99.986,0.669
7D4pGxfKDvTyt90fAAQXxw,32721.5,209175.0,37.4,4.3,1.0,2.0,1.0,instrumental,0.9935,0.4355,0.019049999999999997,0.9079999999999999,0.108,-24.9435,0.03215,65.951,0.404
7D8LuVnlyu91ndcPe70j7S,163406.0,511391.0,44.0,16.0,5.0,1.0,7.0,coreano,0.377,0.458,0.472,1.76e-06,0.203,-6.502,0.0277,137.135,0.182
7DIW7zcnjQFBTMxhK6V2VQ,43426.0,244791.0,41.0,11.0,2.0,1.0,5.0,r&b,0.835,0.505,0.554,0.0362,0.115,-6.845,0.0644,152.011,0.161
7DMveApC7UnC2NPfPvlHSU,2106330.0,7331696.5,65.0,20.0,1.0,2.0,3.0,electronica,0.34195000000000003,0.5974999999999999,0.59625,8.425e-07,0.128375,-7.5685,0.049025,112.221,0.411
7DQYAz99eM3Y5PkP9WtUew,631955.75,3161414.75,58.25,20.0,2.5,3.0,3.0,country y folk,0.35418333333333335,0.54,0.514,0.0,0.1382,-6.932666666666667,0.07516666666666667,144.714,0.48
7Db8AKNMsmpj2CN9H8lVxH,80411.0,782635.3333333334,49.333333333333336,20.0,1.0,1.0,6.0,country y folk,0.411,0.407,0.818,0.0,0.232,-5.755,0.176,87.211,0.611
7DiLiJ8nji6DslsFSzx0IV,14095.0,75773.0,33.0,20.0,1.0,1.0,8.0,rock,0.00213,0.538,0.806,0.000173,0.281,-8.202,0.0804,80.06,0.107
7DivyX8KXF3bq2iAplKTC3,2383.0,45190.0,29.0,20.0,1.0,1.0,5.0,instrumental,0.373,0.486,0.498,0.000469,0.129,-10.36,0.0589,129.845,0.259
7DjwIxbe8kpw4pqnzAMoin,145027.0,312891.0,45.0,12.0,5.0,1.0,6.0,rock,0.105,0.463,0.418,0.000257,0.0986,-10.144,0.0325,137.424,0.383
7Dqkr5jq8RjsIUP5hlnwcX,1491.5,151537.5,31.5,20.0,1.0,1.0,13.0,jazz,0.263,0.69,0.625,0.922,0.117,-6.631,0.0472,83.254,0.96
7DxCK6bwfQC3F2ajZ02R2F,258519.8,380639.8,46.4,7.0,1.0,1.0,5.0,coreano,0.619,0.653,0.561,0.0,0.115,-4.703,0.0319,145.978,0.198
7E1o9IcnpiFQDlAUk2H7Az,42569.666666666664,546214.0,46.333333333333336,20.0,1.0,3.0,12.0,pop,0.6203333333333333,0.5883333333333334,0.26133333333333336,5.946666666666666e-06,0.11366666666666668,-10.860333333333335,0.04146666666666667,145.75033333333332,0.3363333333333333
7E2aQQjErJocovYFjYLzWU,250243.0,2688514.0,63.0,16.0,1.0,1.0,3.0,pop,0.0279,0.701,0.835,0.0,0.282,-5.57,0.19,87.953,0.911
7E2ioKxoxI2J94tUkIx6As,205765.5,2295722.5,59.0,20.0,1.0,2.0,12.0,r&b,0.52075,0.623,0.52925,0.113399265,0.124775,-9.51875,0.07575,123.4255,0.22974999999999998
7E3BRXV9ZbCt5lQTCXMTia,793777.8571428572,2897720.4285714286,61.714285714285715,20.0,8.0,2.0,17.0,instrumental,0.863,0.49577777777777776,0.2790333333333333,0.7708940222222223,0.10061111111111111,-20.227888888888888,0.038655555555555554,115.03933333333333,0.22125555555555554
7E4blUHUdA8BXReNUeeIKl,204.5,762211.0,44.0,20.0,2.0,1.0,1.0,instrumental,0.925,0.12405,0.025599999999999998,0.9105,0.1051,-31.8005,0.0414,129.3825,0.043
7E6DrjKJieOdJKO8mbwCMO,80411.0,757101.0,53.5,20.0,1.0,1.0,6.0,electronica,0.016956666666666665,0.4693333333333333,0.9663333333333334,0.005536666666666666,0.3193333333333333,-1.6103333333333332,0.1683,158.34866666666667,0.32066666666666666
7E6r9S8qCRfZVCjF1A8do6,116419.66666666667,579824.0,53.666666666666664,20.0,1.3333333333333333,2.0,15.0,otro,0.0452,0.8353333333333334,0.7120000000000001,2.5499999999999997e-06,0.22029999999999997,-5.291666666666667,0.17066666666666666,98.24766666666666,0.4386666666666667
7EGwUS3c5dXduO4sMyLWC5,298341.0,1842758.3333333333,54.0,12.0,4.0,2.0,12.0,country y folk,0.106,0.831,0.69,0.00226,0.0973,-7.339,0.028,120.143,0.701
7EHtFdWeBK26GJ5lKt02SV,4894.0,71545.0,33.0,20.0,1.0,1.0,7.0,hip hop,0.128,0.711,0.857,0.0,0.108,-6.441,0.397,118.975,0.796
7EJB9F3fv0x2ezht730D7F,522938.5,2246356.0,55.0,20.0,1.0,1.0,26.0,pop,0.25,0.435,0.819,0.0,0.162,-5.838,0.284,72.925,0.456
7EQ0qTo7fWT7DPxmxtSYEc,4148714.25,25954091.75,74.0,20.0,1.0,3.0,11.0,pop,0.22866666666666666,0.6596666666666667,0.819,3.7333333333333333e-06,0.233,-4.5680000000000005,0.0891,110.652,0.45366666666666666
7EV6jW6dotBdvsHj6xPixi,146183.0,260435.0,40.0,20.0,46.0,1.0,30.0,instrumental,0.00229,0.537,0.879,0.000173,0.239,-6.723,0.0796,128.038,0.555
7EVJloAqLSz0LiDi3308dL,241.5,570168.0,9.0,3.5,1.0,2.0,1.0,otro,0.00226,0.48,0.959,0.699,0.363,-4.889,0.0423,129.996,0.188
