dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids,followers_zscore,monthly_listeners_zscore
2024-04-23,42vzUzUtpdNGFYxqgVcXl1,christian janssen,1011786.0,51.0,545.0,background piano,2022.0,2024.0,20.0,1.0,Perfect Concentration,"1F0zXMBvMOK2MgpLWD1knU, 1Q2ih8UwOirSbXp9Nb4QV4, 1Q2ih8UwOirSbXp9Nb4QV4, 1F0zXMBvMOK2MgpLWD1knU, 4mbhsk7uTmqPYSpUKRICne, 4KVimA013KuiiMWHbSft1q, 1F0zXMBvMOK2MgpLWD1knU, 1Q2ih8UwOirSbXp9Nb4QV4, 1Q2ih8UwOirSbXp9Nb4QV4, 1F0zXMBvMOK2MgpLWD1knU, 4mbhsk7uTmqPYSpUKRICne, 4KVimA013KuiiMWHbSft1q",-0.3063156944576027,-0.43010923189997446
2024-04-15,67hb7towEyKvt5Z8Bx306c,empire of the sun,22466192.0,76.0,1451700.0,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop",2008.0,2024.0,20.0,6.0,Good Vibes,3zEN0ii6s4DHHBpnTp3RP7,-0.14700054959529033,1.1427236558615332
2024-04-18,7JfQ6KThQOrDXIBDJgSFLk,luis berra,592864.0,50.0,2557.0,neo-classical,2017.0,2024.0,20.0,1.0,Perfect Concentration,"6IJ5eCQNpXifW7OqRK9pQc, 6IJ5eCQNpXifW7OqRK9pQc",-0.3060948069084002,-0.46082060647761725
2024-05-07,6xKRT9Uw0XOxNsmWX2vNBr,dana and alden,526274.0,43.0,44075.0,"indie , jazz",2021.0,2024.0,9.0,1.0,Indie Chillout,2tZ4GQajl2yetk2EA8SvMW,-0.3015367506122819,-0.465702351607081
2024-04-24,3QSQFmccmX81fWCUSPTS7y,dean lewis,18116682.0,73.0,3095070.0,"australian pop, pop",2019.0,2024.0,20.0,2.0,Chill Pop,"3cgHwqbHcu1DKFADvkgPJ7, 3fajzhEHSdlSmY31dORz9M, 3cgHwqbHcu1DKFADvkgPJ7, 3fajzhEHSdlSmY31dORz9M",0.03341693138529294,0.8238589726049771
2024-04-06,2gW0M5fn2r7Lo4Hn1r8HZ5,creeds,8489244.0,66.0,94890.0,hypertechno,2022.0,2024.0,20.0,3.0,Dance Party,3AjSfp5FDvwtMU9XBsbS8j,-0.2959580225741479,0.11806683315889446
2024-04-17,1LZEQNv7sE11VDY3SdxQeN,bee gees,28005751.0,78.0,7644565.0,"disco, mellow gold, soft rock",1969.0,2001.0,20.0,17.0,Pop Remix,"0L3XCv9i9IHs8cJEVhsJ3J, 0L3XCv9i9IHs8cJEVhsJ3J",0.5328835321104848,1.548831407290086
2024-04-16,1sBkRIssrMs1AbVkOJbc7a,rick ross,14724506.0,53.0,7123439.0,"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap",2006.0,2024.0,20.0,1.0,No Cap,"3pD67h2Hd1Jd1pMZFYVXHC, 3Vg7nPYlOrCkcV1abKbRQ1",0.47567168073587807,0.5751769082366941
2024-04-11,4Sld5LOPbAm1QSq9U32fFV,john hiatt,1169864.0,54.0,219000.0,"country rock, folk, heartland rock, roots rock, singer-songwriter",1989.0,2021.0,20.0,13.0,Throwback Thursday,"23EgnmfkdOsDK96ftbVv0Q, 23EgnmfkdOsDK96ftbVv0Q",-0.282332598254305,-0.41852045721045084
2024-04-16,2CUZliHXKYjXEV2BOZqMvi,tosh møller,54125.0,30.0,1849.0,background piano,2019.0,2023.0,6.0,1.0,calm vibes,4KB0FsNnaynCa0Zx8V6h9C,-0.3061725347338651,-0.5003158233165149
2024-04-06,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar,58628050.0,90.0,27389773.0,"conscious hip hop, hip hop, rap, west coast rap",2010.0,2023.0,20.0,1.0,Hype,65ES1qwOB577ZnTkizMXJJ,2.7006124603479846,3.79376696812856
2024-04-22,0lb59tIBwWrDfP6X956pkK,jimmy paige,36466.0,27.0,6230.0,"k-rap, korean trap",2023.0,2023.0,1.0,1.0,KrOWN,"2UrBX2cG7ZSnN2SbgspmtK, 2UrBX2cG7ZSnN2SbgspmtK",-0.305691566367535,-0.5016104131534453
2024-04-16,75dQReiBOHN37fQgWQrIAJ,local natives,2002075.0,57.0,644153.0,"chamber pop, indie rock, la indie, modern rock, shimmer pop, stomp and holler",2010.0,2024.0,20.0,2.0,Sunrise Run,0BmNElDPN8uGmJtCwPY5fH,-0.2356571488476967,-0.3575106660115292
2024-04-02,7Ip2u3e5Nv6fFb5xyIHxEE,dev,571737.0,61.0,248417.0,dance pop,2012.0,2024.0,20.0,1.0,Throwback Workout,4DvhkX2ic4zWkQeWMwQ2qf,-0.2791030510202641,-0.4623694370730547
2024-04-24,0CmvFWTX9zmMNCUi6fHtAx,the boyz,1462004.0,58.0,2862660.0,Sin género,2020.0,2024.0,20.0,1.0,Korean OSTs,"63LRh32O1eE0NbN2JsA8Rx, 63LRh32O1eE0NbN2JsA8Rx",0.007901784610861528,-0.3971035324151129
2024-04-03,4AKwRarlmsUlLjIwt38NLw,ofenbach,17526957.0,74.0,584133.0,pop dance,2022.0,2024.0,20.0,1.0,Main Stage,3bK1zVFBKIzYjmptmI4NsJ,-0.24224644840193865,0.7806259474289291
